number,value,params_bagging_temperature,params_boosting_type,params_bootstrap_type,params_depth,params_l2_leaf_reg,params_learning_rate,params_subsample
88,0.564418856,,Plain,Bernoulli,7,19,0.048541452,0.719202925
89,0.565250441,,Plain,Bernoulli,7,20,0.065671977,0.425672951
90,0.573834086,,Plain,Bernoulli,6,18,0.016327508,0.322551875
91,0.566637733,,Plain,Bernoulli,7,18,0.040799268,0.64010751
92,0.566461391,,Plain,Bernoulli,7,19,0.051921903,0.638607645
93,0.56522032,,Plain,Bernoulli,7,19,0.053239217,0.532374606
94,0.174116237,,Plain,Bernoulli,6,20,0.000291275,0.622728219
95,0.564356248,,Plain,Bernoulli,7,19,0.081688044,0.872344654
96,0.566474561,,Plain,Bernoulli,7,18,0.044300021,0.551120677
97,0.563209366,,Plain,Bernoulli,6,20,0.021218662,0.547286879
98,0.49728585,,Plain,MVS,7,18,0.062741975,
99,0.057153312,,Plain,Bernoulli,7,19,8.15E-05,0.722288418
100,0.567417259,,Plain,Bernoulli,6,18,0.051689878,0.472772371
101,0.567892997,,Plain,Bernoulli,6,18,0.051762622,0.498025529
102,0.566994826,,Plain,Bernoulli,6,18,0.039944154,0.475126792
103,0.567720424,,Plain,Bernoulli,6,18,0.038836281,0.479848213
104,0.566526218,,Plain,Bernoulli,5,18,0.079547683,0.486081661
105,0.565871177,,Plain,Bernoulli,5,18,0.083370058,0.470723738
106,0.544263845,7.733366296,Plain,Bayesian,5,17,0.026315797,
107,0.56667116,,Plain,Bernoulli,6,19,0.060168215,0.43900981
108,0.567709063,,Plain,Bernoulli,6,18,0.062977333,0.439682886
109,0.567138933,,Plain,Bernoulli,5,17,0.064733737,0.440041109
110,0.564677038,,Plain,Bernoulli,6,17,0.061881956,0.380918402
111,0.567166639,,Plain,Bernoulli,5,18,0.069818363,0.428012581
112,0.566630952,,Plain,Bernoulli,6,19,0.065364388,0.430138906
113,0.564224309,,Plain,Bernoulli,6,20,0.093207134,0.333851193
114,0.566796695,,Plain,Bernoulli,4,19,0.060120598,0.446608557
115,0.568141365,,Plain,Bernoulli,4,19,0.068251594,0.449467788
116,0.565521607,,Plain,Bernoulli,4,19,0.07100823,0.445561374
